!	!	$.	neutral	0.332604/0.471554/0.195842	D
"	"	$(	neutral	0.292191/0.447523/0.260285	D
(	(	$(	neutral	0.313617/0.446087/0.240296	D
)	)	$(	neutral	0.334943/0.427278/0.237779	D
*	*	$(	neutral	0.27451/0.45098/0.27451	D
-	-	$(	neutral	0.298092/0.464229/0.237679	D
.	.	$.	neutral	0.281739/0.473789/0.244472	D
0	0	CA	neutral	0.277778/0.527778/0.194444	D
1	1	CA	neutral	0.276536/0.486034/0.23743	D
2	2	CA	neutral	0.234586/0.538346/0.227068	D
3	3	CA	neutral	0.205508/0.440678/0.353814	D
4	4	CA	neutral	0.272085/0.5053/0.222615	D
5	5	CA	neutral	0.386111/0.394444/0.219444	D
6	6	CA	neutral	0.205357/0.625/0.169643	D
7	7	CA	neutral	0.293333/0.44/0.266667	D
8	8	CA	neutral	0.336538/0.423077/0.240385	D
9	9	CA	neutral	0.318182/0.386364/0.295455	D
:	:	$.	neutral	0.299368/0.451862/0.24877	D
?	?	$.	neutral	0.155789/0.587368/0.256842	D
Abbild	Abbild	NN	neutral	-/-/-	D
Abdeckblech	Abdeckblech	NN	neutral	-/-/-	D
Abdeckgitter	Abdeckgitter	NN	neutral	-/-/-	D
Abdeckrost	Abdeckrost	NN	neutral	-/-/-	D
Abdeckung	Abdeckung	NN	neutral	0.454545/0.272727/0.272727	D
Abdruck	Abdruck	NN	neutral	0/0/1	D
Abdrucknehmen	Abdrucknehmen	NN	neutral	-/-/-	D
Abenteuer	Abenteuer	NN	neutral	0/1/0	D
Ablage	Ablage	NN	neutral	0.25/0.75/0	D
Ablagegestell	Ablagegestell	NN	neutral	-/-/-	D
Ablauf	Ablauf	NN	neutral	0/1/0	D
Ablaufregelung	Ablaufregelung	NN	neutral	-/-/-	D
Ablenkblech	Ablenkblech	NN	neutral	-/-/-	D
Ablenkplatte	Ablenkplatte	NN	neutral	-/-/-	D
Ablieferung	Ablieferung	NN	neutral	-/-/-	D
Abreicherung	Abreicherung	NN	neutral	-/-/-	D
Abruf	Abruf	NN	neutral	-/-/-	D
Abschlag	Abschlag	NN	neutral	0/0/1	D
Abschlagszahlung	Abschlagszahlung	NN	neutral	-/-/-	D
Abschnitt	Abschnitt	NN	neutral	-/-/-	D
Abseite	Abseite	NN	neutral	-/-/-	D
Absicht	Absicht	NN	neutral	0.25/0.75/0	D
Abspannung	Abspannung	NN	neutral	-/-/-	D
Abstinenzbewegung	Abstinenzbewegung	NN	neutral	-/-/-	D
Abtretung	Abtretung	NN	neutral	-/-/-	D
Abwehrspieler	Abwehrspieler	NN	neutral	-/-/-	D
Abwägung	Abwägung	NN	neutral	1/0/0	D
Advokat	Advokat	NN	neutral	-/-/-	D
Affekt	Affekt	NN	neutral	-/-/-	D
Affektion	Affektion	NN	neutral	-/-/-	D
Affinität	Affinität	NN	neutral	-/-/-	D
Aha-Erlebnis	Aha-Erlebnis	NN	neutral	-/-/-	D
Ahnung	Ahnung	NN	neutral	0.3/0.55/0.15	D
Akkommodationsbreite	Akkommodationsbreite	NN	neutral	-/-/-	D
Akkomodationsbreite	Akkomodationsbreite	NN	neutral	-/-/-	D
Akteur	Akteur	NN	neutral	1/0/0	D
Allgemeinplatz	Allgemeinplatz	NN	neutral	-/-/-	D
Alternative	Alternative	NN	neutral	0.431818/0.431818/0.136364	D
Analyse	Analyse	NN	neutral	0.75/0.25/0	D
Analysegerät	Analysegerät	NN	neutral	-/-/-	D
Anblick	Anblick	NN	neutral	0/0.5/0.5	D
Anbringung	Anbringung	NN	neutral	0.333333/0.333333/0.333333	D
Andruck	Andruck	NN	neutral	-/-/-	D
Anfahrt	Anfahrt	NN	neutral	-/-/-	D
Anfang	Anfang	NN	neutral	0.254237/0.542373/0.20339	D
Anfertigung	Anfertigung	NN	neutral	-/-/-	D
Anforderung	Anforderung	NN	neutral	0.166667/0.333333/0.5	D
Angelegenheit	Angelegenheit	NN	neutral	0.2/0.6/0.2	D
Anlage	Anlage	NN	neutral	0.214286/0.535714/0.25	D
Anlaß	Anlaß	NN	neutral	0.666667/0/0.333333	D
Anlegbarkeit	Anlegbarkeit	NN	neutral	-/-/-	D
Anlehnung	Anlehnung	NN	neutral	-/-/-	D
Anleitung	Anleitung	NN	neutral	0.511111/0.333333/0.155556	D
Anmerkung	Anmerkung	NN	neutral	0.333333/0.333333/0.333333	D
Annahme	Annahme	NN	neutral	0/0.5/0.5	D
Anpflanzung	Anpflanzung	NN	neutral	-/-/-	D
Anpressvorrichtungen	Anpressvorrichtungen	NN	neutral	-/-/-	D
Anprobe	Anprobe	NN	neutral	-/-/-	D
Anschauung	Anschauung	NN	neutral	-/-/-	D
Anschein	Anschein	NN	neutral	1/0/0	D
Ansehung	Ansehung	NN	neutral	-/-/-	D
Ansicht	Ansicht	NN	neutral	0.2/0.3/0.5	D
Ansteuerung	Ansteuerung	NN	neutral	1/0/0	D
Anstoß	Anstoß	NN	neutral	-/-/-	D
Antizyklone	Antizyklone	NN	neutral	-/-/-	D
Anvulkanisation	Anvulkanisation	NN	neutral	-/-/-	D
Anvulkanisieren	Anvulkanisieren	NN	neutral	-/-/-	D
Anzeige	Anzeige	NN	neutral	0.52/0.28/0.2	D
Apostel	Apostel	NN	neutral	-/-/-	D
