Abfangschirm	Abfangschirm	NN	positive	-/-/-	D
Abgeklärtheit	Abgeklärtheit	NN	positive	-/-/-	D
Abgeschlossenheit	Abgeschlossenheit	NN	positive	-/-/-	D
Abgleich	Abgleich	NN	positive	-/-/-	D
Abgott	Abgott	NN	positive	-/-/-	D
Abhilfe	Abhilfe	NN	positive	0.2/0.8/0	D
Abhilfemaßnahme	Abhilfemaßnahme	NN	positive	-/-/-	D
Abkomme	Abkomme	NN	positive	-/-/-	D
Abkühlung	Abkühlung	NN	positive	0.5/0.5/0	D
Ableger	Ableger	NN	positive	-/-/-	D
Ablöse	Ablöse	NN	positive	0.5/0.5/0	D
Ablösung	Ablösung	NN	positive	-/-/-	D
Abmachung	Abmachung	NN	positive	0.0040/-/-	L
Abschirmung	Abschirmung	NN	positive	0/0/1	D
Abschluß	Abschluß	NN	positive	0.0040/-/-	L
Absicherung	Absicherung	NN	positive	-/-/-	D
Absprache	Absprache	NN	positive	-/-/-	D
Abstimmung	Abstimmung	NN	positive	0.0040/-/-	L
Abstützung	Abstützung	NN	positive	-/-/-	D
Abstützvorrichtung	Abstützvorrichtung	NN	positive	-/-/-	D
Abundanz	Abundanz	NN	positive	-/-/-	D
Abwechslung	Abwechslung	NN	positive	0.375/0.4375/0.1875	D
Achtsamkeit	Achtsamkeit	NN	positive	-/-/-	D
Adaptation	Adaptation	NN	positive	-/-/-	D
Adaptationsfähigkeit	Adaptationsfähigkeit	NN	positive	-/-/-	D
Adept	Adept	NN	positive	-/-/-	D
Adhäsion	Adhäsion	NN	positive	-/-/-	D
Affirmation	Affirmation	NN	positive	-/-/-	D
Agilität	Agilität	NN	positive	0.0040/-/-	L
Akklamation	Akklamation	NN	positive	-/-/-	D
Akquisition	Akquisition	NN	positive	-/-/-	D
Aktivist	Aktivist	NN	positive	-/-/-	D
Aktivistin	Aktivistin	NN	positive	-/-/-	D
Aktivität	Aktivität	NN	positive	0.0040/-/-	L
Aktivposten	Aktivposten	NN	positive	-/-/-	D
Aktivum	Aktivum	NN	positive	-/-/-	D
Aktualisierung	Aktualisierung	NN	positive	0.0040/-/-	L
Aktualität	Aktualität	NN	positive	0.0040/-/-	L
Akzent	Akzent	NN	positive	0/0.25/0.75	D
Akzept	Akzept	NN	positive	-/-/-	D
Akzeptanz	Akzeptanz	NN	positive	0.0040/-/-	L
Allheilmittel	Allheilmittel	NN	positive	0/0/1	D
Allianz	Allianz	NN	positive	-/-/-	D
Alliierte	Alliierte	NN	positive	-/-/-	D
Altarraum	Altarraum	NN	positive	-/-/-	D
Altbaumodernisierung	Altbaumodernisierung	NN	positive	-/-/-	D
Altbausanierung	Altbausanierung	NN	positive	-/-/-	D
Alterungsbeständigkeit	Alterungsbeständigkeit	NN	positive	-/-/-	D
Altruist	Altruist	NN	positive	-/-/-	D
Altruistin	Altruistin	NN	positive	-/-/-	D
Amtsbefugnis	Amtsbefugnis	NN	positive	-/-/-	D
Amulett	Amulett	NN	positive	-/-/-	D
Amüsement	Amüsement	NN	positive	-/-/-	D
Anbeter	Anbeter	NN	positive	-/-/-	D
Anbetung	Anbetung	NN	positive	-/-/-	D
Andacht	Andacht	NN	positive	-/-/-	D
Andrang	Andrang	NN	positive	0.0040/-/-	L
Anerkenntnis	Anerkenntnis	NN	positive	-/-/-	D
Anerkennung	Anerkennung	NN	positive	0.0855/-/-	L
Angebot	Angebot	NN	positive	0.0711/-/-	L
